last_name, first_name,year,player_age,b_ab,b_total_hits,b_single,b_strikeout,batting_avg,b_hit_ground,b_hit_line_drive,b_out_ground,
Fraley, Jake,2020,25,26,4,2,11,.154,1,2,3,
La Stella, Tommy,2020,31,196,55,34,12,.281,16,31,59,
Iglesias, Jose,2020,30,142,53,33,17,.373,11,36,44,
Gardner, Brett,2020,37,130,29,18,35,.223,10,18,27,
Gyorko, Jedd,2020,32,117,29,17,38,.248,5,16,27,
Nunez, Renato,2020,26,195,50,28,64,.256,13,31,30,
Santana, Carlos,2020,34,206,41,26,43,.199,12,23,59,
Morrison, Logan,2020,33,25,3,1,8,.120,0,3,8,
Hernandez, Cesar,2020,30,233,66,43,57,.283,25,37,65,
Hicks, Aaron,2020,31,169,38,20,38,.225,14,18,48,
Holt, Brock,2020,32,95,20,14,24,.211,6,14,27,
Aguilar, Jesus,2020,30,188,52,34,40,.277,15,29,42,
Gallagher, Cam,2020,28,53,15,9,11,.283,3,9,14,
Dickerson, Corey,2020,31,194,50,37,35,.258,22,22,61,
Murphy, Sean,2020,26,116,27,15,37,.233,9,11,26,
Tucker, Cole,2020,24,109,24,20,31,.220,10,10,31,
Moran, Colin,2020,28,178,44,24,52,.247,17,22,56,
Haseley, Adam,2020,24,79,22,17,17,.278,8,13,29,
Piscotty, Stephen,2020,29,159,36,25,53,.226,14,20,36,
Schoop, Jonathan,2020,29,162,45,31,39,.278,16,22,48,
Mercer, Jordy,2020,34,20,4,4,2,.200,2,1,9,
Freeman, Freddie,2020,31,214,73,36,37,.341,13,46,46,
Wieters, Matt,2020,34,35,7,6,10,.200,1,6,10,
Simmons, Andrelton,2020,31,118,35,28,16,.297,14,19,42,
Romine, Austin,2020,32,130,31,24,47,.238,15,14,23,
Pollock, AJ,2020,33,196,54,29,45,.276,16,25,44,
Merrifield, Whit,2020,31,248,70,49,33,.282,15,45,66,
O'Neill, Tyler,2020,25,139,24,12,43,.173,8,10,34,
Arauz, Jonathan,2020,22,72,18,15,21,.250,5,11,17,
Gurriel, Yuli,2020,36,211,49,30,27,.232,17,28,55,
Ahmed, Nick,2020,30,199,53,37,46,.266,19,28,60,
Kemp, Tony,2020,29,93,23,18,14,.247,4,16,27,
d'Arnaud, Travis,2020,31,165,53,36,50,.321,17,30,33,
Rooker, Brent,2020,26,19,6,3,5,.316,1,5,4,
Ona, Jorge,2020,24,12,3,1,7,.250,0,2,2,
Tromp, Chadwick,2020,25,61,13,8,20,.213,3,8,16,
Moncada, Yoan,2020,25,200,45,28,72,.225,17,22,37,
Bell, Josh,2020,28,195,44,33,59,.226,23,18,56,
Arcia, Orlando,2020,26,173,45,29,32,.260,13,28,54,
Davis, Chris,2020,34,52,6,3,17,.115,2,3,15,
Davis, Khris,2020,33,85,17,10,26,.200,4,12,15,
Rojas, Josh,2020,26,61,11,11,16,.180,6,5,18,
Diaz, Yandy,2020,29,114,35,30,17,.307,17,17,47,
Sanchez, Ali,2020,23,9,1,1,3,.111,1,0,2,
Torres, Gleyber,2020,24,136,33,22,28,.243,10,17,35,
Moniak, Mickey,2020,22,14,3,3,6,.214,1,2,4,
Caratini, Victor,2020,27,116,28,20,31,.241,11,15,32,
Hernandez, Teoscar,2020,28,190,55,32,63,.289,17,28,32,
Williams, Mason,2020,29,18,2,1,9,.111,0,2,6,
Davis, Jonathan,2020,28,27,7,4,11,.259,2,5,5,
Lamb, Jake,2020,30,88,17,9,25,.193,3,11,20,
Verdugo, Alex,2020,24,201,62,40,45,.308,25,29,57,
France, Ty,2020,26,141,43,29,37,.305,11,27,29,
Plawecki, Kevin,2020,29,82,28,21,14,.341,11,14,19,
Barnhart, Tucker,2020,29,98,20,12,28,.204,0,15,25,
McMahon, Ryan,2020,26,172,37,21,66,.215,10,18,44,
Lewis, Kyle,2020,25,206,54,40,71,.262,19,27,40,
Molina, Yadier,2020,38,145,38,32,21,.262,11,23,43,
Knizner, Andrew,2020,25,16,4,3,5,.250,2,2,6,
Higashioka, Kyle,2020,30,48,12,7,11,.250,5,6,9,
Harrison, Josh,2020,33,79,22,17,12,.278,6,12,22,
Wendle, Joey,2020,30,168,48,33,35,.286,17,28,49,
Vazquez, Christian,2020,30,173,49,33,43,.283,16,22,38,
Heath, Nick,2020,27,13,2,1,6,.154,1,1,4,
Yelich, Christian,2020,29,200,41,21,76,.205,11,21,53,
Kelly, Carson,2020,26,122,27,17,29,.221,8,13,30,
Gallo, Joey,2020,27,193,35,17,79,.181,8,18,28,
Wong, Kolten,2020,30,181,48,41,30,.265,23,23,57,
Aquino, Aristides,2020,26,47,8,5,18,.170,1,5,14,
Young, Andy,2020,26,26,5,2,10,.192,2,2,6,
Castro, Starlin,2020,30,60,16,10,13,.267,4,8,13,
Gutierrez, Kelvin,2020,26,9,1,1,6,.111,0,1,1,
Maybin, Cameron,2020,33,93,23,13,25,.247,11,12,28,
Taylor, Beau,2020,30,21,1,1,9,.048,0,1,9,
Kiner-Falefa, Isiah,2020,25,211,59,49,32,.280,28,25,83,
Heineman, Tyler,2020,29,42,8,7,6,.190,3,5,11,
Kemp, Matt,2020,36,117,28,19,41,.239,5,18,26,
Dahl, David,2020,26,93,17,13,28,.183,6,8,21,
Hernandez, Enrique,2020,29,139,32,18,31,.230,9,15,36,
Segura, Jean,2020,30,192,51,37,45,.266,24,21,49,
Sisco, Chance,2020,25,98,21,13,41,.214,3,13,14,
Butera, Drew,2020,37,39,6,4,11,.154,3,2,10,
Lowe, Nate,2020,25,67,15,9,28,.224,3,11,15,
Devers, Rafael,2020,24,232,61,33,67,.263,18,31,58,
Hernandez, Yadiel,2020,33,26,5,1,12,.192,0,3,8,
Garcia, Jose,2020,22,67,13,13,26,.194,6,7,12,
Dixon, Brandon,2020,28,13,1,0,4,.077,0,0,5,
Straw, Myles,2020,26,82,17,13,22,.207,8,9,14,
Vogt, Stephen,2020,36,72,12,6,18,.167,2,8,17,
Beaty, Matt,2020,27,50,11,8,14,.220,3,7,14,
Mayfield, Jack,2020,30,42,8,7,14,.190,2,4,9,
Ervin, Phillip,2020,28,74,11,8,22,.149,4,7,17,
Rojas, Miguel,2020,31,125,38,23,18,.304,12,22,34,
Slater, Austin,2020,28,85,24,16,22,.282,6,13,20,
DeShields, Delino,2020,28,107,27,22,29,.252,16,11,34,
Adames, Willy,2020,25,185,48,24,74,.259,16,24,34,
Kratz, Erik,2020,40,28,9,7,6,.321,4,5,9,
Haggerty, Sam,2020,26,50,13,8,16,.260,4,7,10,
Tsutsugo, Yoshi,2020,29,157,31,17,50,.197,8,15,36,
Dozier, Hunter,2020,29,158,36,24,48,.228,9,22,34,
Torrens, Luis,2020,24,70,18,12,15,.257,6,12,18,
Arraez, Luis,2020,23,112,36,27,11,.321,9,22,32,
Goins, Ryan,2020,32,9,0,0,1,.000,0,0,3,
Kingery, Scott,2020,26,113,18,10,35,.159,5,11,26,
Contreras, William,2020,23,10,4,3,4,.400,0,2,1,
Rengifo, Luis,2020,23,90,14,12,26,.156,7,7,33,
Pence, Hunter,2020,37,52,5,2,15,.096,0,3,22,
Moreland, Mitch,2020,35,136,36,17,32,.265,8,18,39,
Cabrera, Asdrubal,2020,35,190,46,26,40,.242,17,22,53,
Stevenson, Andrew,2020,26,41,15,5,11,.366,5,8,6,
Smith, Kevan,2020,32,31,8,4,11,.258,3,4,8,
Phegley, Josh,2020,32,16,1,0,3,.063,0,1,7,
Smith, Dominic,2020,25,177,56,24,45,.316,7,41,49,
Upton, Justin,2020,33,147,30,16,43,.204,8,16,36,
Taylor, Michael A.,2020,29,92,18,7,27,.196,6,8,23,
Sanchez, Yolmer,2020,28,16,5,1,5,.313,1,3,4,
Engel, Adam,2020,29,88,26,17,19,.295,12,10,17,
Sano, Miguel,2020,27,186,38,13,90,.204,10,20,26,
Mountcastle, Ryan,2020,23,126,42,32,30,.333,17,19,26,
Hoerner, Nico,2020,23,108,24,20,24,.222,15,9,34,
Hilliard, Sam,2020,26,105,22,12,42,.210,8,10,24,
